source,case,total_power_kw,encircled_power_kw,encircled_center_x_mm,encircled_center_y_mm,aperture_diameter_x_mm,aperture_diameter_y_mm,encircled_peak_kw_m2,encircled_mean_kw_m2,encircled_reference_mean_kw_m2,encircled_mean_reference_ratio,aperture_note,encircled_sec_vs_total_ref_pct,total_sec_vs_total_ref_pct,encircled_ref_vs_total_ref_pct
simulation,REF_01,0.00545471954202333,0.0008796836399342119,0.020000001589457472,-0.06000000476837153,0.8,0.8,2043.82375,1762.190139823718,,,,51.309203937995164,79.48524254752927,16.127018688258882
simulation,SEC_01,0.0043356970582647215,0.002798773174062426,-0.04499999999999993,-0.1049999499320986,1.6515185886821975,1.105259137918668,3117.704,1949.6889671238243,1762.190139823718,1.1064010194262368,common SEC ellipse: largest shared same-aspect ellipse whose best-positioned mean is at least the same-source same-season REF aperture mean for every available SEC plot,51.309203937995164,79.48524254752927,16.127018688258882
simulation,REF_06,0.007621610224259229,0.0013548147842921768,-0.020000001589457028,-0.020000001589457028,0.8,0.8,3126.019,2740.3263923948216,,,,56.31154061422193,80.77326839648329,17.77596524130642
simulation,SEC_06,0.0061562236825747196,0.004291846136891427,0.01499999999999968,-0.1049999499320986,1.6515185886821975,1.105259137918668,5043.8325,2989.79750815047,2740.3263923948216,1.0910370080177314,common SEC ellipse: largest shared same-aspect ellipse whose best-positioned mean is at least the same-source same-season REF aperture mean for every available SEC plot,56.31154061422193,80.77326839648329,17.77596524130642
measurement,REF_01,0.0064800726056370595,0.000709667401444,-0.016000000000000014,-0.3839999999999999,0.8,0.8,1599.61625,1411.2960605272367,,,,31.223820754984974,89.1274618344799,10.951534722414305
measurement,SEC_01,0.005775524238435758,0.002023326255177,0.08000000000000007,0.17600000000000016,1.6515185886821975,1.105259137918668,1854.179125,1411.2973857033446,1411.2960605272367,1.0000009389781102,common SEC ellipse: largest shared same-aspect ellipse whose best-positioned mean is at least the same-source same-season REF aperture mean for every available SEC plot,31.223820754984974,89.1274618344799,10.951534722414305
measurement,REF_06,0.007621610202156798,0.00072364257067,-0.3839999999999999,-0.5760000000000001,0.8,0.8,1622.745,1439.0880955477598,,,,43.599576657536815,113.16708180996285,9.494615330304091
measurement,SEC_06,0.00862515385271126,0.003322989782628,0.1280000000000001,-0.09600000000000009,1.6515185886821975,1.105259137918668,3468.789,2317.8302465766037,1439.0880955477598,1.6106242930835781,common SEC ellipse: largest shared same-aspect ellipse whose best-positioned mean is at least the same-source same-season REF aperture mean for every available SEC plot,43.599576657536815,113.16708180996285,9.494615330304091
