nrm_file,season,iso,exposure_s,f_number,reference_intensity,scale_w_m2_per_intensity,assigned_solar_irradiance_w_m2,saturated_fraction_estimate
REF_01-NRM.CR2,01,6400.0,0.02,29.0,1142.2559814453125,0.7003684051518372,800.0,0.0
REF_06-NRM.CR2,06,6400.0,0.02,29.0,1318.26513671875,0.6068581939375667,800.0,1.9256672464756405e-05
