case,real_file,off_file,reference_stat,reference_units,measured_reference_value,simulation_reference_value,measured_encircled_mean_au,simulation_encircled_mean_w_m2,measured_total_power_au_area,simulation_total_power_kw,measured_peak_au,simulation_peak_w_m2,scale_w_m2_per_intensity,selected_for_scale
REF_01,REF_01.CR2,REF_01-OFF.CR2,total-power,"measured integrated a.u.*m2/1000, simulation kW",0.003121974810262604,0.00545471954202333,679935.3987149198,1762190.139823718,0.003121974810262604,0.00545471954202333,770664.4375,2043823.75,1.747201650728408,False
REF_06,REF_06.CR2,REF_06-OFF.CR2,total-power,"measured integrated a.u.*m2/1000, simulation kW",0.003671945750208621,0.007621610224259229,693325.0686410207,2740326.3923948216,0.003671945750208621,0.007621610224259229,781807.4375,3126019.0,2.0756325781300577,True
